,Unnamed: 0,Discipline,Professor,Subject
0,0,Artificial Intelligence,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
1,1,Artificial Intelligence,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
2,2,Artificial Intelligence,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
3,3,Artificial Intelligence,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
4,4,Artificial Intelligence,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
5,5,Artificial Intelligence,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
6,0,Applied Mathematics,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
7,1,Applied Mathematics,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
8,2,Applied Mathematics,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
9,3,Applied Mathematics,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
10,4,Applied Mathematics,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
11,5,Applied Mathematics,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
12,0,Bioinformatics,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
13,1,Bioinformatics,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
14,2,Bioinformatics,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
15,3,Bioinformatics,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
16,4,Bioinformatics,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
17,5,Bioinformatics,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
18,0,Cognitive Neuroscience,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
19,1,Cognitive Neuroscience,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
20,2,Cognitive Neuroscience,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
21,3,Cognitive Neuroscience,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
22,4,Cognitive Neuroscience,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
23,5,Cognitive Neuroscience,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
24,0,Computer Vision,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
25,1,Computer Vision,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
26,2,Computer Vision,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
27,3,Computer Vision,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
28,4,Computer Vision,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
29,5,Computer Vision,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
30,0,Computer Graphics,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
31,1,Computer Graphics,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
32,2,Computer Graphics,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
33,3,Computer Graphics,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
34,4,Computer Graphics,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
35,5,Computer Graphics,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
36,0,Computer Security and Cryptography,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
37,1,Computer Security and Cryptography,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
38,2,Computer Security and Cryptography,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
39,3,Computer Security and Cryptography,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
40,4,Computer Security and Cryptography,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
41,5,Computer Security and Cryptography,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
42,0,Computer Networks & Systems,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
43,1,Computer Networks & Systems,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
44,2,Computer Networks & Systems,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
45,3,Computer Networks & Systems,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
46,4,Computer Networks & Systems,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
47,5,Computer Networks & Systems,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
48,0,Database and Information Systems,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
49,1,Database and Information Systems,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
50,2,Database and Information Systems,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
51,3,Database and Information Systems,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
52,4,Database and Information Systems,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
53,5,Database and Information Systems,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
54,0,Distributed Computing,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
55,1,Distributed Computing,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
56,2,Distributed Computing,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
57,3,Distributed Computing,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
58,4,Distributed Computing,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
59,5,Distributed Computing,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
60,0,Genomics,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
61,1,Genomics,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
62,2,Genomics,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
63,3,Genomics,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
64,4,Genomics,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
65,5,Genomics,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
66,0,Game Theory,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
67,1,Game Theory,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
68,2,Game Theory,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
69,3,Game Theory,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
70,4,Game Theory,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
71,5,Game Theory,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
72,0,Human- Computer Interaction,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
73,1,Human- Computer Interaction,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
74,2,Human- Computer Interaction,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
75,3,Human- Computer Interaction,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
76,4,Human- Computer Interaction,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
77,5,Human- Computer Interaction,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
78,0,Big Data Management,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
79,1,Big Data Management,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
80,2,Big Data Management,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
81,3,Big Data Management,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
82,4,Big Data Management,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
