Discipline,Faculty,Specific Research
Artificial Intelligence,Bapi Chatterjee,"Distributed Machine Learning, Concurrent Data Structures, Neural Architecture Search, Learned Index Structures"
Artificial Intelligence,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
Artificial Intelligence,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
Artificial Intelligence,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
Artificial Intelligence,V. Raghava Mutharaju,"Knowledge Graphs/Semantic Web, Ontology modeling and reasoning, Linked Data, Big Data"
Artificial Intelligence,Vinayak Abrol,"Acoustic modelling and coding, Voice biometrics, Pathological speech and audio categorization"
Applied Mathematics,Anuradha Sharma,"Algebraic Coding Theory, Number Theory and Algebra"
Applied Mathematics,Sarthok Sircar,Developing multiscale models and robust numerical algorithms for complex systems
Bioinformatics,G.P.S. Raghava,"Bioinformatics Application on Protein Modelling/ Engineering, Genomics and Informatics Solutions for integrating Biology (GENESIS), Integrative approach for designing biomolecules for cancer therapy, Application of bioinformatics in System Biology"
Bioinformatics,Ganesh Bagler,"Complex Systems, Computational Biology, Complex Networks, Bioinformatics"
Bioinformatics,Tavpritesh Sethi,"Big-data for clinical decision support, Human physiology"
Cognitive Neuroscience,Mrinmoy Chakrabarty,"Affective Cognitive Neuroscience, Visual-Spatial Cognition, Autism Spectrum Disorders"
Cognitive Neuroscience,Sonia Baloni Ray,"Role of attention in visual processing, studying mechanisms of emotion and motion perception"
Cognitive Neuroscience,Sriram K,"Systems biology, Cell division cycle, Circadian rhythms, Computational cognitive neuroscience"
Computer Vision,A V Subramanyam,"Information Forensics and Security, Multimedia Signal Processing, Visual Surveillance and Deep Learning"
Computer Vision,Koteswar Rao Jerripothula,"Computer Vision, Image Processing, Multimedia Systems"
Computer Vision,Rajiv Ratn Shah,Multimodal semantic and sentiment analysis of user-generated social media content
Computer Vision,Saket Anand,"Geometric Computer Vision, Semi-supervised learning, Robust methods"
Computer Vision,Tammam Tillo,"Convolutional Neural Networks, Image Processing, Signal Processing"
Computer Graphics,Ojaswa Sharma,"Computer graphics and geometry with focus on Virtual and Mixed reality (VR/MR), Volume rendering, 3D reconstruction"
Computer Security and Cryptography,A V Subramanyam,"Information Forensics and Security, Multimedia Signal Processing, Visual Surveillance and Deep Learning"
Computer Security and Cryptography,Arun Balaji Buduru,"Cyber security, Reinforcement learning and stochastic planning"
Computer Security and Cryptography,Donghoon Chang,"Cryptography, Cryptanalysis, Cyber Security"
Computer Security and Cryptography,Piyus Kedia,"System security, safe languages, virtualization"
Computer Security and Cryptography,Ranjan Bose,"Secure Communications, Coding Theory, 5G Security, Wireless Security, Physical Layer Security and Broadband Wireless Access"
Computer Security and Cryptography,Sambuddho Chakravarty,"Network Anonymity and Privacy, Network Censorship and Anti-Censorship"
Computer Security and Cryptography,Subhabrata Samajder,"Symmetric-key Cryptanalysis, Latticebased cryptography, Blockchains and random graphs"
